actin_filaments,cell_junctions,centrosome,cytoplasmic_bodies,cytoskeleton,cytosol,endoplasmic_reticulum,endosome,endosome_membrane,er_lumen,er_membrane,golgi_apparatus,golgi_lumen,golgi_membrane,lysosome,lysosome_membrane,membrane_proteins,microtubule_organizing_center,midbody,mitochondria,mitochondria_matrix,mitochondrial_membrane,myofibril,nuclear_bodies,nuclear_membrane,nuclear_speckles,nucleolus,nucleoplasm,nucleus,peroxisome,plasma_membrane,secreted,vesicle,vesicle_membrane
,,,,,,,,Recycling endosome membrane Multi-pass membrane protein,,Microsome membrane Single-pass membrane protein,,,,,,Cell membrane Single-pass type I membrane protein,,,,,Mitochondrion outer membrane Peripheral membrane protein Cytoplasmic side,,,,,,,,,Membrane raft,,,Cytoplasmic vesicle Secretory vesicle Synaptic vesicle membrane Peripheral membrane protein
,,,,,,,,Recycling endosome membrane Peripheral membrane protein,,Microsome membrane Single-pass type II membrane protein,,,,,,Cell membrane Single-pass type I membrane protein Extracellular side,,,,,Mitochondrion outer membrane Single-pass membrane protein,,,,,,,,,Lateral cell membrane,,,Cytoplasmic vesicle Secretory vesicle Synaptic vesicle membrane Single-pass type I membrane protein
,,,,,,,,Recycling endosome membrane Peripheral membrane protein Cytoplasmic side,,Microsome membrane Single-pass type III membrane protein,,,,,,Cell membrane Single-pass type II membrane protein,,,,,Mitochondrion outer membrane Single-pass membrane protein Extracellular side,,,,,,,,,Lateral cell membrane Multi-pass membrane protein,,,Cytoplasmic vesicle Secretory vesicle membrane Multi-pass membrane protein
,,,,,,,,Recycling endosome membrane Single-pass type I membrane protein,,Microsome membrane Single-pass type IV membrane protein Cytoplasmic side,,,,,,Cell membrane Single-pass type II membrane protein Extracellular side,,,,,Mitochondrion outer membrane Single-pass type II membrane protein,,,,,,,,,Postsynapse,,,Cytoplasmic vesicle Secretory vesicle membrane Single-pass membrane protein
,,,,,,,,,,Rough endoplasmic reticulum membrane Multi-pass membrane protein,,,,,,Cell membrane Single-pass type III membrane protein,,,,,Mitochondrion outer membrane Single-pass type III membrane protein,,,,,,,,,Postsynaptic cell membrane,,,Cytoplasmic vesicle Secretory vesicle membrane Single-pass type II membrane protein
,,,,,,,,,,Rough endoplasmic reticulum membrane Peripheral membrane protein,,,,,,Membrane Multi-pass membrane protein,,,,,Mitochondrion outer membrane Single-pass type IV membrane protein,,,,,,,,,Postsynaptic density,,,Cytoplasmic vesicle membrane
,,,,,,,,,,Smooth endoplasmic reticulum membrane Single-pass membrane protein,,,,,,Membrane Peripheral membrane protein,,,,,Mitochondrion outer membrane Single-pass type IV membrane protein Cytoplasmic side,,,,,,,,,Postsynaptic density membrane,,,Cytoplasmic vesicle membrane Lipid-anchor
,,,,,,,,,,Sarcoplasmic reticulum membrane,,,,,,Membrane Peripheral membrane protein Cytoplasmic side,,,,,,,,,,,,,,Preautophagosomal structure,,,Cytoplasmic vesicle membrane Lipid-anchor Cytoplasmic side
,,,,,,,,,,Sarcoplasmic reticulum membrane Lipid-anchor GPI-anchor,,,,,,Membrane Single-pass membrane protein,,,,,,,,,,,,,,Presynapse,,,Cytoplasmic vesicle membrane Multi-pass membrane protein
,,,,,,,,,,Sarcoplasmic reticulum membrane Multi-pass membrane protein,,,,,,Membrane Single-pass type I membrane protein,,,,,,,,,,,,,,Presynaptic active zone,,,Cytoplasmic vesicle membrane Peripheral membrane protein
,,,,,,,,,,Sarcoplasmic reticulum membrane Peripheral membrane protein Cytoplasmic side,,,,,,Membrane Single-pass type I membrane protein Extracellular side,,,,,,,,,,,,,,Presynaptic cell membrane,,,Cytoplasmic vesicle membrane Peripheral membrane protein Cytoplasmic side
,,,,,,,,,,Sarcoplasmic reticulum membrane Single-pass type II membrane protein,,,,,,Membrane Single-pass type II membrane protein,,,,,,,,,,,,,,Presynaptic cell membrane Lipid-anchor,,,Cytoplasmic vesicle membrane Single-pass type I membrane protein
,,,,,,,,,,,,,,,,Membrane Single-pass type III membrane protein,,,,,,,,,,,,,,,,,Zymogen granule membrane Peripheral membrane protein
,,,,,,,,,,,,,,,,Membrane raft Peripheral membrane protein Extracellular side,,,,,,,,,,,,,,,,,Extracellular vesicle membrane Lipid-anchor GPI-anchor
,,,,,,,,,,,,,,,,Membrane raft Single-pass type I membrane protein,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Postsynaptic cell membrane Multi-pass membrane protein,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Postsynaptic cell membrane Peripheral membrane protein Cytoplasmic side,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Postsynaptic cell membrane Single-pass type I membrane protein,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Postsynaptic density membrane Multi-pass membrane protein,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Presynaptic cell membrane Multi-pass membrane protein,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Synaptic cell membrane Multi-pass membrane protein,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Target cell membrane Multi-pass membrane protein,,,,,,,,,,,,,,,,,
